Origen,'Proyecto ALIAS',País,'Tipo de Proyecto','Estado manual',MES,'Estado Proyecto (Fecha creación LEAD)','TC (ARS/USD)','Variación TC ARS/USD (- 12 SEM)','Variación TC UYU/USD (- 12 SEM)','Tasa interés crédito hipoteca',Class
Facebook,'Proyecto #1',UY,Departamentos,'Posible comprador',1,PV,15.9,0.0461,0.0793,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Posible comprador',1,PV,15.9,0.0461,0.0793,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Posible comprador',1,PV,15.9,0.0461,0.0793,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Perfil inadecuado',1,PV,15.9,0.0461,0.0793,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Perfil inadecuado',1,PV,15.9,0.0461,0.0793,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #2',AR,Departamentos,'Perfil inadecuado',1,FO,15.9,0.0461,0.0793,18.42,'UNQUALIFIED LEAD'
Espontaneo,'Proyecto #2',AR,Departamentos,'Posible comprador',1,FO,15.9,0.0461,0.0793,18.42,'UNQUALIFIED LEAD'
Google,'Proyecto #2',AR,Departamentos,'Perfil inadecuado',1,FO,15.9,0.0461,0.0793,18.42,'UNQUALIFIED LEAD'
Google,'Proyecto #1',UY,Departamentos,'Posible comprador',1,PV,15.9,0.0461,0.0793,5.89,'UNQUALIFIED LEAD'
Google,'Proyecto #1',UY,Departamentos,'Perfil inadecuado',1,PV,15.9,0.0461,0.0793,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Perfil inadecuado',1,PV,15.9,0.0461,0.0793,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Perfil inadecuado',1,PV,15.9,0.0461,0.0813,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Posible comprador',1,PV,15.9,0.0461,0.0813,5.89,'UNQUALIFIED LEAD'
Espontaneo,'Proyecto #1',UY,Departamentos,'Posible comprador',1,PV,15.9,0.0461,0.0813,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Posible comprador',1,PV,15.9,0.0461,0.0813,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Posible comprador',1,PV,15.9,0.0461,0.0813,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Posible comprador',1,PV,15.9,0.0461,0.0813,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Perfil inadecuado',1,PV,15.9,0.0461,0.0813,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Posible comprador',1,PV,15.9,0.0461,0.0813,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Perfil inadecuado',1,PV,15.9,0.0461,0.0813,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Posible comprador',1,PV,15.9,0.0461,0.0813,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Posible comprador',1,PV,15.9,0.0461,0.0813,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Posible comprador',1,PV,15.9,0.0461,0.0813,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #2',AR,Departamentos,'Posible comprador',1,FO,15.9,0.0461,0.0813,18.42,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Perfil inadecuado',1,PV,15.9,0.0461,0.0813,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Posible comprador',1,PV,15.9,0.0461,0.0813,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Posible comprador',1,PV,15.9,0.0461,0.0813,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Posible comprador',1,PV,15.9,0.0461,0.0813,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Posible comprador',1,PV,15.9,0.0461,0.0813,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Posible comprador',1,PV,15.9,0.0461,0.0813,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #2',AR,Departamentos,'Perfil inadecuado',1,FO,15.9,0.0461,0.0813,18.42,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Perfil inadecuado',1,PV,15.9,0.0461,0.0813,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Perfil inadecuado',1,PV,15.9,0.0461,0.0813,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Posible comprador',1,PV,15.9,0.0461,0.0813,5.89,'UNQUALIFIED LEAD'
